Randoplh32,Region,Glacier_Na,CentLAT,CentLON
RGI32-01.13311,Alaska-Yukon,LittleNagishlamina,61.3391,-152.514998999999
RGI32-01.13318,Alaska-Yukon,PotholePotholes,61.3103979999999,-152.384995
RGI32-01.13333,Alaska-Yukon,Capps,61.3269999999999,-151.906005999999
RGI32-01.13365,Alaska-Yukon,TwinSouth,61.4365999999999,-152.537994
RGI32-01.13390,Alaska-Yukon,Triumvirate,61.483398,-152.195999
RGI32-01.13757,Alaska-Yukon,Miller,59.5433999999999,-138.992004
RGI32-01.14588,Alaska-Yukon,Miles,60.631199,-144.147003
RGI32-01.14605,Alaska-Yukon,MartinRiver,60.548901,-143.878006
RGI32-01.14681,Alaska-Yukon,Duktoth,60.3344,-142.167007
RGI32-01.14719,Alaska-Yukon,Anchor,60.2817989999999,-143.063004
RGI32-01.14723,Alaska-Yukon,Lucia,60.0229,-139.897003
RGI32-01.14724,Alaska-Yukon,Tyndall,60.2535019999999,-141.093002
RGI32-01.14782,Alaska-Yukon,Agassiz,60.146999,-140.488007
RGI32-01.14934,Alaska-Yukon,4*8ABB2,59.6366009999999,-138.300003
RGI32-01.14977,Alaska-Yukon,Alcan1,60.796902,-140.886992999999
RGI32-01.15043,Alaska-Yukon,Taylor,60.785099,-141.574997
RGI32-01.15061,Alaska-Yukon,MarbleEastA,60.873699,-141.561004999999
RGI32-01.15377,Alaska-Yukon,Haenke,60.088402,-139.675995
RGI32-01.15484,Alaska-Yukon,LittleGoat,60.7419009999999,-141.660996
RGI32-01.15562,Alaska-Yukon,Turner,60.0983009999999,-139.796005
RGI32-01.15565,Alaska-Yukon,Miller2ndNorth,60.0968019999999,-139.598007
RGI32-01.15618,Alaska-Yukon,Hubbard,60.397098,-139.496002
RGI32-01.15656,Alaska-Yukon,Kanabe,60.694901,-141.395004
RGI32-01.15705,Alaska-Yukon,Hidden,59.700802,-139.061004999999
RGI32-01.15712,Alaska-Yukon,Butler,59.942402,-139.050003
RGI32-01.15776,Alaska-Yukon,LittleDuktoth,60.3050989999999,-142.283997
RGI32-01.15839,Alaska-Yukon,Galiano,59.9790989999999,-139.710997999999
RGI32-01.15887,Alaska-Yukon,Yahtse,60.3245999999999,-141.714996
RGI32-01.16031,Alaska-Yukon,4*8ABB26,59.787399,-138.251999
RGI32-01.16159,Alaska-Yukon,UnnamedBE2012B,60.102798,-141.753998
RGI32-01.16166,Alaska-Yukon,Steller,60.500301,-143.501999
RGI32-01.16448,Alaska-Yukon,Atrevida,59.9338989999999,-139.830994
RGI32-01.16602,Alaska-Yukon,BondCreekarea,62.244801,-142.613007
RGI32-01.16842,Alaska-Yukon,LittleCrossCreek,62.065102,-142.449005
RGI32-01.16864,Alaska-Yukon,Sanford,62.088501,-144.259995
RGI32-01.16867,Alaska-Yukon,Lime,61.8585009999999,-142.104996
RGI32-01.16868,Alaska-Yukon,BowPassArea,61.9397999999999,-142.210006999999
RGI32-01.16870,Alaska-Yukon,BowCreekEast,61.8992999999999,-142.141998
RGI32-01.16889,Alaska-Yukon,Frederika,61.7783999999999,-142.285996
RGI32-01.16943,Alaska-Yukon,PresidentChairC,61.889702,-142.845992999999
RGI32-01.17039,Alaska-Yukon,PresidentChairB,61.952801,-142.742004
RGI32-01.17043,Alaska-Yukon,Cenabsnik,62.009602,-142.699997
RGI32-01.17049,Alaska-Yukon,CrossCreek,62.0428009999999,-142.651001
RGI32-01.17072,Alaska-Yukon,Boomerang,61.9613,-142.244002999999
RGI32-01.17089,Alaska-Yukon,McNear,61.744301,-142.134003
RGI32-01.17099,Alaska-Yukon,NikondaCreekarea,62.063999,-142.712997
RGI32-01.17105,Alaska-Yukon,MiddleFork,61.8091999999999,-142.175995
RGI32-01.17139,Alaska-Yukon,CopperWest,62.0563999999999,-143.953994999999
RGI32-01.17155,Alaska-Yukon,Chisana,61.8628009999999,-142.307007
RGI32-01.17156,Alaska-Yukon,PresidentChairA,61.9733999999999,-142.684998
RGI32-01.17330,Alaska-Yukon,4*8ABD30,59.8927989999999,-138.070007
RGI32-01.17362,Alaska-Yukon,CongruentF4*9CAS6,61.250599,-139.845001
RGI32-01.17364,Alaska-Yukon,4*9CAS7,61.242001,-139.869994999999
RGI32-01.17383,Alaska-Yukon,Detour4*8ABO11,59.8455999999999,-137.554001
RGI32-01.17384,Alaska-Yukon,4*8ABP14,59.747101,-137.75
RGI32-01.17385,Alaska-Yukon,Ahnkattie,59.6745,-137.759003
RGI32-01.17393,Alaska-Yukon,4*8ACB20,59.8442989999999,-137.459
RGI32-01.17396,Alaska-Yukon,4*8ABO14,59.883999,-137.483994
RGI32-01.17397,Alaska-Yukon,4*8ACB36,60.0037,-137.557007
RGI32-01.17402,Alaska-Yukon,Leloo4*8ABN98,60.0386999999999,-137.641998
RGI32-01.17406,Alaska-Yukon,4*9CAL9,60.8935999999999,-138.518997
RGI32-01.17407,Alaska-Yukon,4*9CAK1,60.9016,-138.309006
RGI32-01.17432,Alaska-Yukon,4*9CAM105,61.032902,-138.940993999999
RGI32-01.17439,Alaska-Yukon,4*9CAM191,61.0493999999999,-139.072998
RGI32-01.17470,Alaska-Yukon,CementC4*9CAT7,61.329701,-139.992996
RGI32-01.17472,Alaska-Yukon,4*9CAT5,61.3408999999999,-139.959
RGI32-01.17473,Alaska-Yukon,CementD4*9CAT4,61.3447,-139.945999
RGI32-01.17474,Alaska-Yukon,StClare6,61.3496019999999,-140.102004999999
RGI32-01.17479,Alaska-Yukon,4*9CAT31,61.399399,-140.044006
RGI32-01.17514,Alaska-Yukon,4*9CAR86,61.144699,-140.007995999999
RGI32-01.17516,Alaska-Yukon,4*9CAR21,61.109299,-139.809006
RGI32-01.17524,Alaska-Yukon,4*9CAR82,61.1693,-139.824005
RGI32-01.17525,Alaska-Yukon,4*8ABC3,59.901401,-138.464996
RGI32-01.17526,Alaska-Yukon,4*8ABE10,60.1025009999999,-138.490005999999
RGI32-01.17533,Alaska-Yukon,4*8ABO68,59.859501,-137.899002
RGI32-01.17553,Alaska-Yukon,4*8ACA66,59.7019009999999,-137.679993
RGI32-01.17570,Alaska-Yukon,Range4*8ABO45,59.8260989999999,-137.768004999999
RGI32-01.17572,Alaska-Yukon,Alki4*8ACA80,59.766499,-137.505005
RGI32-01.17584,Alaska-Yukon,4*8ACB12,59.8237,-137.505997
RGI32-01.17595,Alaska-Yukon,4*9CAL152,60.8923989999999,-138.914002
RGI32-01.17596,Alaska-Yukon,4*9CAL158,60.898899,-138.867004
RGI32-01.17597,Alaska-Yukon,4*9CAL99,60.816799,-139.085006999999
RGI32-01.17598,Alaska-Yukon,4*9CAL121,60.8286019999999,-139.009995
RGI32-01.17599,Alaska-Yukon,LittleKasa4*9CAL96,60.8223989999999,-139.130997
RGI32-01.17600,Alaska-Yukon,4*9CAL119,60.8116989999999,-138.973998999999
RGI32-01.17602,Alaska-Yukon,4*9CAO100,60.8275989999999,-139.535003999999
RGI32-01.17603,Alaska-Yukon,4*9CAL91,60.8059009999999,-139.190993999999
RGI32-01.17605,Alaska-Yukon,4*8ABK82,60.661701,-139.080994
RGI32-01.17628,Alaska-Yukon,4*9CAL88,60.7890009999999,-139.236999999999
RGI32-01.17629,Alaska-Yukon,4*9CAL135,60.823002,-138.817001
RGI32-01.17630,Alaska-Yukon,4*9CAL133,60.8265,-138.796997
RGI32-01.17636,Alaska-Yukon,4*9CAL153,60.883499,-138.875
RGI32-01.17649,Alaska-Yukon,4*9CAM117,60.9360009999999,-138.940001999999
RGI32-01.17658,Alaska-Yukon,4*9CAM131,61.0037,-139.027999999999
RGI32-01.17661,Alaska-Yukon,4*9CAP35,61.052101,-139.598007
RGI32-01.17663,Alaska-Yukon,4*9CAQ105,61.0779989999999,-139.796997
RGI32-01.17665,Alaska-Yukon,4*9CAQ103,61.055698,-139.845992999999
